partner_labels,partner_code,weather_countrycode,weather_countryname,iso_countrycode,yearmonth,AVG_TAVG,MIN_TMIN,MAX_TMAX
United Arab Emirates,647,AE,United Arab Emirates,AE,200501,186.09615384615384,110.0,280.0
United Arab Emirates,647,AE,United Arab Emirates,AE,200502,204.75,106.0,306.5
United Arab Emirates,647,AE,United Arab Emirates,AE,200503,238.22666666666663,124.5,363.6666666666667
United Arab Emirates,647,AE,United Arab Emirates,AE,200504,280.9845679012346,155.0,423.3333333333333
United Arab Emirates,647,AE,United Arab Emirates,AE,200505,321.2962962962963,192.0,435.5
United Arab Emirates,647,AE,United Arab Emirates,AE,200506,339.47115384615387,244.0,458.0
United Arab Emirates,647,AE,United Arab Emirates,AE,200507,342.04545454545456,252.5,462.6666666666667
United Arab Emirates,647,AE,United Arab Emirates,AE,200508,356.3361111111111,277.5,471.5
United Arab Emirates,647,AE,United Arab Emirates,AE,200509,331.1875,246.0,452.6666666666667
United Arab Emirates,647,AE,United Arab Emirates,AE,200510,317.0,256.6666666666667,391.3333333333333
United Arab Emirates,647,AE,United Arab Emirates,AE,200512,211.7763157894737,110.0,298.3333333333333
United Arab Emirates,647,AE,United Arab Emirates,AE,200601,188.86594202898553,91.0,318.0
United Arab Emirates,647,AE,United Arab Emirates,AE,200602,220.71180555555554,103.5,349.75
United Arab Emirates,647,AE,United Arab Emirates,AE,200603,229.98765432098767,142.0,354.5
United Arab Emirates,647,AE,United Arab Emirates,AE,200604,274.2971014492754,170.5,404.6666666666667
United Arab Emirates,647,AE,United Arab Emirates,AE,200605,321.0545977011494,223.0,438.0
United Arab Emirates,647,AE,United Arab Emirates,AE,200606,351.7291666666667,253.66666666666666,470.0
United Arab Emirates,647,AE,United Arab Emirates,AE,200607,357.2980769230769,273.0,469.0
United Arab Emirates,647,AE,United Arab Emirates,AE,200608,364.46666666666664,263.0,466.25
United Arab Emirates,647,AE,United Arab Emirates,AE,200609,333.3805555555556,235.33333333333334,440.0
United Arab Emirates,647,AE,United Arab Emirates,AE,200610,303.06944444444446,214.0,416.6666666666667
United Arab Emirates,647,AE,United Arab Emirates,AE,200611,252.8717948717949,150.0,367.75
United Arab Emirates,647,AE,United Arab Emirates,AE,200612,189.94,122.33333333333333,300.6666666666667
United Arab Emirates,647,AE,United Arab Emirates,AE,200701,175.2820512820513,82.0,284.3333333333333
United Arab Emirates,647,AE,United Arab Emirates,AE,200702,204.40909090909096,116.5,334.0
United Arab Emirates,647,AE,United Arab Emirates,AE,200703,238.55333333333337,129.0,375.0
United Arab Emirates,647,AE,United Arab Emirates,AE,200704,297.2314814814815,152.0,420.6666666666667
United Arab Emirates,647,AE,United Arab Emirates,AE,200705,327.93055555555554,209.66666666666666,448.0
United Arab Emirates,647,AE,United Arab Emirates,AE,200708,363.5833333333333,295.75,441.0
United Arab Emirates,647,AE,United Arab Emirates,AE,200709,334.6636904761904,226.33333333333334,448.75
United Arab Emirates,647,AE,United Arab Emirates,AE,200710,292.76388888888886,175.5,403.6666666666667
United Arab Emirates,647,AE,United Arab Emirates,AE,200711,252.58333333333331,161.66666666666666,357.0
United Arab Emirates,647,AE,United Arab Emirates,AE,200712,210.92241379310346,113.75,302.3333333333333
United Arab Emirates,647,AE,United Arab Emirates,AE,200801,178.0185185185185,77.66666666666667,286.5
United Arab Emirates,647,AE,United Arab Emirates,AE,200802,191.32098765432096,60.0,326.25
United Arab Emirates,647,AE,United Arab Emirates,AE,200803,239.70833333333334,114.0,370.25
United Arab Emirates,647,AE,United Arab Emirates,AE,200804,283.82666666666665,173.66666666666666,398.75
United Arab Emirates,647,AE,United Arab Emirates,AE,200805,335.235119047619,210.5,440.5
United Arab Emirates,647,AE,United Arab Emirates,AE,200806,331.36206896551727,247.0,483.0
United Arab Emirates,647,AE,United Arab Emirates,AE,200807,360.1944444444444,263.5,480.0
United Arab Emirates,647,AE,United Arab Emirates,AE,200808,362.7768817204301,281.75,465.0
United Arab Emirates,647,AE,United Arab Emirates,AE,200809,332.3965517241379,243.0,437.3333333333333
United Arab Emirates,647,AE,United Arab Emirates,AE,200810,302.6494252873563,213.33333333333334,409.5
United Arab Emirates,647,AE,United Arab Emirates,AE,200811,253.71527777777774,161.5,365.6666666666667
United Arab Emirates,647,AE,United Arab Emirates,AE,200812,191.34615384615384,94.66666666666667,287.6666666666667
United Arab Emirates,647,AE,United Arab Emirates,AE,200901,174.79166666666669,93.0,292.0
United Arab Emirates,647,AE,United Arab Emirates,AE,200902,224.27272727272728,123.25,375.5
United Arab Emirates,647,AE,United Arab Emirates,AE,200903,244.91666666666669,113.0,384.0
United Arab Emirates,647,AE,United Arab Emirates,AE,200904,281.07246376811594,173.33333333333334,417.5
United Arab Emirates,647,AE,United Arab Emirates,AE,200905,332.676282051282,207.66666666666666,456.6666666666667
United Arab Emirates,647,AE,United Arab Emirates,AE,200906,347.5064102564103,239.0,471.0
United Arab Emirates,647,AE,United Arab Emirates,AE,200907,353.18390804597703,279.6666666666667,472.0
United Arab Emirates,647,AE,United Arab Emirates,AE,200908,358.52688172043014,294.5,458.6666666666667
United Arab Emirates,647,AE,United Arab Emirates,AE,200909,332.49,253.75,452.3333333333333
United Arab Emirates,647,AE,United Arab Emirates,AE,200910,297.3888888888889,197.0,407.6666666666667
United Arab Emirates,647,AE,United Arab Emirates,AE,200911,257.5865384615385,166.33333333333334,370.25
United Arab Emirates,647,AE,United Arab Emirates,AE,200912,212.05459770114945,148.0,302.75
United Arab Emirates,647,AE,United Arab Emirates,AE,201001,192.68390804597698,106.0,302.3333333333333
United Arab Emirates,647,AE,United Arab Emirates,AE,201002,217.1847826086956,105.0,355.0
United Arab Emirates,647,AE,United Arab Emirates,AE,201003,247.61607142857142,153.33333333333334,412.0
United Arab Emirates,647,AE,United Arab Emirates,AE,201004,288.56410256410254,180.75,410.6666666666667
United Arab Emirates,647,AE,United Arab Emirates,AE,201005,325.4080459770115,208.0,439.5
United Arab Emirates,647,AE,United Arab Emirates,AE,201006,356.19827586206895,245.0,467.6666666666667
