DATAFLOW,LAST UPDATE,freq,declarant,partner,product,flow,stat_regime,indicators,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2005-01,106983.9,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2005-02,126648.5,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2005-03,94526.9,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2005-04,137965.3,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2005-05,122365.8,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2005-06,121775.4,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2005-07,101238.7,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2005-08,123993.4,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2005-09,89706.9,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2005-10,110752.5,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2005-11,93304.3,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2005-12,52390.7,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2006-01,137015.6,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2006-02,116470.6,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2006-03,112260.9,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2006-04,119760.5,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2006-05,72508.5,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2006-06,112641.7,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2006-07,105265.7,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2006-08,122799.5,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2006-09,146751.3,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2006-10,140109.0,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2006-11,107320.4,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2006-12,110090.5,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2007-01,101260.3,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2007-02,70150.5,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2007-03,127183.9,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2007-04,120530.9,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2007-05,100594.3,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2007-06,108255.9,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2007-07,106501.0,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2007-08,175452.3,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2007-09,98144.3,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2007-10,126852.6,
ESTAT:DS-057380(1.0),05/01/23 14:01:00,M,003,0001,10059000,1,1,QUANTITY_TON,2007-11,74220.6,
