DATAFLOW,LAST UPDATE,freq,declarant,partner,product,flow,stat_regime,indicators,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2020-03,247675.6,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2020-04,186842.4,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2020-05,132227.6,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2020-06,103440.1,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2020-07,158578.5,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2020-08,136934.1,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2020-09,129267.0,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2020-10,93621.7,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2020-11,181728.8,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2020-12,102265.3,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2021-01,135584.0,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2021-02,88106.0,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2021-03,183818.9,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2021-04,160962.3,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2021-05,188614.1,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2021-06,145095.8,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2021-07,114569.1,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2021-08,162605.3,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2021-09,216095.9,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2021-10,193842.2,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2021-11,255379.6,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2021-12,254255.8,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2022-01,221664.5,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2022-02,197951.6,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2022-03,259231.6,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2022-04,202672.9,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2022-05,171930.9,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2022-06,241470.3,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2022-07,124802.1,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2022-08,123789.7,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2022-09,127302.7,
ESTAT:DS-057380(1.0),22/02/23 14:42:00,M,003,0001,100199,1,1,QUANTITY_TON,2022-10,155671.1,
