DATAFLOW,LAST UPDATE,freq,declarant,partner,product,flow,stat_regime,indicators,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DS-057380(1.0),06/01/23 14:01:00,M,003,0001,15121191,1,1,QUANTITY_TON,2005-01,1295.6,
ESTAT:DS-057380(1.0),06/01/23 14:01:00,M,003,0001,15121191,1,1,QUANTITY_TON,2005-02,1027.2,
ESTAT:DS-057380(1.0),06/01/23 14:01:00,M,003,0001,15121191,1,1,QUANTITY_TON,2005-03,5900.8,
ESTAT:DS-057380(1.0),06/01/23 14:01:00,M,003,0001,15121191,1,1,QUANTITY_TON,2005-04,3532.2,
ESTAT:DS-057380(1.0),06/01/23 14:01:00,M,003,0001,15121191,1,1,QUANTITY_TON,2005-05,507.6,
ESTAT:DS-057380(1.0),06/01/23 14:01:00,M,003,0001,15121191,1,1,QUANTITY_TON,2005-06,1376.6,
ESTAT:DS-057380(1.0),06/01/23 14:01:00,M,003,0001,15121191,1,1,QUANTITY_TON,2005-07,3117.2,
ESTAT:DS-057380(1.0),06/01/23 14:01:00,M,003,0001,15121191,1,1,QUANTITY_TON,2005-08,3479.8,
ESTAT:DS-057380(1.0),06/01/23 14:01:00,M,003,0001,15121191,1,1,QUANTITY_TON,2005-09,680.3,
ESTAT:DS-057380(1.0),06/01/23 14:01:00,M,003,0001,15121191,1,1,QUANTITY_TON,2005-10,1972.0,
ESTAT:DS-057380(1.0),06/01/23 14:01:00,M,003,0001,15121191,1,1,QUANTITY_TON,2005-11,206.3,
ESTAT:DS-057380(1.0),06/01/23 14:01:00,M,003,0001,15121191,1,1,QUANTITY_TON,2005-12,121.5,
ESTAT:DS-057380(1.0),06/01/23 14:01:00,M,003,0001,15121191,1,1,QUANTITY_TON,2006-01,2897.3,
ESTAT:DS-057380(1.0),06/01/23 14:01:00,M,003,0001,15121191,1,1,QUANTITY_TON,2006-02,234.6,
ESTAT:DS-057380(1.0),06/01/23 14:01:00,M,003,0001,15121191,1,1,QUANTITY_TON,2006-03,173.2,
ESTAT:DS-057380(1.0),06/01/23 14:01:00,M,003,0001,15121191,1,1,QUANTITY_TON,2006-04,3648.8,
