DATAFLOW,LAST UPDATE,freq,declarant,partner,product,flow,stat_regime,indicators,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2015-01,2694.5,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2015-02,1576.1,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2015-03,1666.3,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2015-04,1940.6,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2015-05,1603.0,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2015-06,3798.1,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2015-07,769.5,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2015-08,2058.0,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2015-09,2198.5,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2015-10,1734.5,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2015-11,1273.3,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2015-12,927.4,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2016-01,1197.2,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2016-02,661.5,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2016-03,710.9,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2016-04,375.9,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2016-05,421.7,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2016-06,345.1,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2016-07,458.0,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2016-08,701.0,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2016-09,749.1,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2016-10,696.0,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2016-11,658.4,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2016-12,847.2,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2017-01,505.6,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2017-02,745.7,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2017-03,400.2,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2017-04,841.4,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2017-05,520.4,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2017-06,538.9,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2017-07,1762.0,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2017-08,902.8,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2017-09,217.1,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2017-10,2272.4,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2017-11,688.0,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2017-12,321.5,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2018-01,996.2,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2018-02,1256.7,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2018-03,1392.0,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2018-04,1865.2,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2018-05,1471.3,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2018-06,1601.5,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2018-07,1003.1,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2018-08,751.3,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2018-09,1763.4,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2018-10,1045.6,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2018-11,1155.1,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2018-12,1442.3,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2019-01,794.7,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2019-02,81.6,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2019-03,941.0,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2019-04,136.0,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2019-05,184.6,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2019-06,221.3,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2019-07,289.6,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2019-08,1306.5,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2019-09,349.7,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2019-10,486.7,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2019-11,656.1,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2019-12,452.4,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2020-01,502.7,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2020-02,535.7,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2020-03,475.5,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2020-04,533.9,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2020-05,283.9,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2020-06,154.4,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2020-07,48.3,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2020-08,33.1,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2020-09,65.8,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2020-10,20.6,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2020-11,26.2,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2020-12,44.1,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2021-01,185.8,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2021-02,356.6,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2021-03,398.3,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2021-04,319.3,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2021-05,477.8,
ESTAT:DS-057380(1.0),13/01/23 14:16:00,M,004,0001,15121191,1,1,QUANTITY_TON,2021-06,262.5,
