DATAFLOW,LAST UPDATE,freq,declarant,partner,product,flow,stat_regime,indicators,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2012-01,1973.4,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2012-02,283.6,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2012-03,5358.7,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2012-04,25.0,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2012-05,796.4,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2012-06,1925.0,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2012-08,300.0,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2012-10,1156.1,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2012-11,163.6,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2012-12,797.2,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2013-01,224.1,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2013-02,25.0,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2013-03,77.6,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2013-04,260.7,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2013-05,637.8,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2013-06,626.7,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2013-07,1000.0,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2013-08,180.5,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2013-09,585.2,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2013-10,395.9,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2013-11,313.3,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2013-12,79.4,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2014-01,308.4,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2014-02,25.0,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2014-03,25.0,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2014-04,2651.2,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2014-05,741.2,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2014-06,2081.7,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2014-07,25.0,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2014-08,679.1,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2014-09,196.2,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2014-10,1881.7,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2014-11,223.3,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2014-12,89.5,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2015-01,1497.9,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2015-02,3.2,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2015-03,3.4,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2015-04,1005.6,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2015-05,554.4,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2015-06,954.2,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2015-07,18158.5,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2015-10,432.9,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2015-11,193.2,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2015-12,1503.8,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2016-01,115.1,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2016-02,122.2,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2016-03,122.2,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2016-04,553.3,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2016-05,229.7,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2016-06,228.9,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2016-07,1684.0,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2016-08,225.3,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2016-09,132.2,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2016-10,104.1,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2016-11,147.3,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2016-12,101.2,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2017-01,51.6,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2017-02,44.1,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2017-03,81.8,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2017-04,98.9,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2017-05,140.3,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2017-06,148.0,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2017-07,1524.3,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2017-08,143.1,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2017-09,144.0,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2017-10,1200.3,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2017-11,2696.4,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2017-12,5779.1,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2018-01,943.9,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2018-02,798.9,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2018-03,81381.1,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2018-04,30270.9,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2018-05,640.0,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2018-06,1619.1,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2018-07,3202.2,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2018-08,292.0,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2018-09,275.4,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2018-10,1125.0,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2018-11,454.9,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2018-12,3921.3,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2019-01,285.7,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2019-02,1403.1,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2019-03,40.3,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2019-04,1467.1,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2019-05,858.2,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2019-06,22151.8,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2019-07,502.9,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2019-09,1.8,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2019-10,35.3,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2019-11,92517.9,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2020-01,160.4,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2020-02,228.5,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2020-03,796.8,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2020-04,241.6,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2020-05,331.1,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2020-06,652.4,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2020-07,15391.9,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2020-08,86.8,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2020-09,140.4,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2020-10,110.6,
ESTAT:DS-057380(1.0),03/01/23 13:41:00,M,003,0001,100119,1,1,QUANTITY_TON,2020-11,227.7,
